Process_ID,Arrival_Time,Burst_Time
196,455.81,49
197,455.95,20
198,458.14,13
199,466.33,20
200,471.4,29
201,472.03,51
202,484.42,89
203,484.61,65
204,486.46,7
205,488.94,5
206,491.41,32
207,493.6,6
208,496.02,16
209,496.83,6
210,497.92,21
211,500.11,1
212,504.31,61
213,507.2,13
214,508.55,24
215,515.3,47
216,519.46,41
217,530.37,9
218,531.57,25
219,540.33,9
220,541.91,9
221,543.25,46
222,548.25,7
223,552.44,24
224,559.68,59
225,564.42,5
226,564.77,2
227,572.47,2
228,575.25,68
229,577.66,3
230,580.44,41
231,582.28,8
232,587.06,25
233,589.07,16
234,590.36,54
235,590.72,24
236,591.32,14
237,591.69,17
238,593.13,23
239,598.99,8
240,602.82,13
241,604.08,16
242,611.55,9
243,611.95,7
244,612.7,79
245,614.24,7
246,615.24,62
247,617.75,6
248,618.09,6
249,618.43,25
250,619.49,10
251,625.17,38
252,625.64,40
253,626.17,3
254,626.4,4
255,626.72,20
256,627.85,44
257,629.6,6
258,633.62,7
259,636.09,14
260,639.54,34
261,640.05,35
262,641.71,23
263,644.12,4
264,647.56,1
265,647.65,82
266,653.29,27
267,655.08,27
268,656.56,51
269,658.46,30
270,659.64,3
271,659.69,26
272,660.68,4
273,661.0,56
274,663.84,85
275,667.73,3
276,669.66,7
277,671.87,5
278,672.21,26
279,673.04,22
280,675.15,22
281,676.25,50
282,676.93,8
283,677.2,37
284,677.64,4
285,678.16,3
286,683.84,35
287,684.05,11
288,694.15,12
289,694.45,10
290,699.47,6
291,703.72,4
292,706.48,35
293,713.11,168
294,713.93,26
295,717.6,35
296,718.99,3
297,720.76,5
298,723.12,5
299,723.97,2
300,725.61,58
301,727.51,45
302,727.87,5
303,728.03,34
304,730.89,13
305,734.46,4
306,735.79,51
307,736.86,8
308,737.36,52
309,737.53,66
310,742.14,127
311,742.52,34
312,742.97,11
313,743.42,11
314,745.27,16
315,746.38,42
316,750.62,87
317,752.07,4
318,752.97,12
319,756.41,2
320,762.16,49
321,763.37,84
322,765.82,52
323,766.13,54
324,767.15,69
325,767.52,11
326,769.43,104
327,775.04,5
328,775.97,62
329,776.68,122
330,781.91,62
331,782.96,106
332,783.37,5
333,784.02,88
334,786.58,16
335,789.54,18
336,790.6,58
337,791.1,8
338,792.38,81
339,793.93,8
340,796.29,61
341,796.34,143
342,802.73,11
343,805.8,9
344,808.13,2
345,809.51,8
346,816.0,52
347,817.5,226
348,818.77,11
349,818.91,93
350,818.92,4
351,819.93,82
352,826.24,1
353,827.3,105
354,828.8,3
355,829.44,25
356,829.93,6
357,831.65,80
358,832.78,6
359,834.95,3
360,843.06,11
361,843.46,30
362,857.88,6
363,859.62,32
364,863.09,8
365,863.68,6
366,864.21,8
367,864.3,57
368,864.47,25
369,868.21,22
370,869.66,10
371,870.94,2
372,871.44,55
373,876.39,45
374,877.18,67
375,879.76,5
376,880.18,6
377,883.33,46
378,883.96,7
379,884.62,7
380,885.11,45
381,887.75,40
382,888.45,6
383,891.65,8
384,892.92,9
385,895.68,4
386,901.35,3
387,901.38,1
388,906.96,30
389,911.21,23
390,912.4,30
391,914.63,77
392,915.95,21
393,917.96,1
394,925.37,4
395,928.98,16
396,933.0,7
397,934.38,41
398,935.13,12
399,935.51,22
400,936.3,8
401,936.35,2
402,938.37,11
403,941.0,5
404,941.03,67
405,941.4,130
406,944.13,25
407,944.61,6
408,945.82,14
409,947.65,40
410,949.96,8
411,950.66,19
412,951.76,30
413,954.93,69
414,956.55,1
415,959.27,7
416,959.87,8
417,959.95,12
418,960.08,2
419,961.79,17
420,965.47,16
421,965.75,8
422,967.46,40
423,970.38,2
424,974.65,38
425,978.67,3
426,980.9,15
427,982.02,22
428,983.97,6
429,989.13,80
430,991.82,71
431,994.77,5
432,996.45,12
433,997.08,14
434,997.17,53
435,1000.16,10
436,1009.02,6
437,1016.24,18
438,1020.89,47
439,1021.85,2
440,1022.17,66
441,1022.37,26
442,1025.6,106
443,1025.77,10
444,1029.68,15
445,1030.64,83
446,1033.03,58
447,1033.69,75
448,1037.7,7
449,1053.16,102
450,1054.45,4
451,1056.08,85
452,1066.43,59
453,1070.09,1
454,1073.43,1
455,1074.11,5
456,1074.96,30
457,1075.84,15
458,1078.69,2
459,1079.31,44
460,1084.59,3
461,1091.83,46
462,1092.29,4
463,1104.11,18
464,1105.91,27
465,1106.57,4
466,1107.09,4
467,1110.87,4
468,1119.56,44
469,1124.94,39
470,1128.49,2
471,1131.47,9
472,1132.11,5
473,1132.74,48
474,1134.91,15
475,1135.15,5
476,1135.5,70
477,1140.99,11
478,1142.99,94
479,1143.22,17
480,1143.97,23
481,1147.18,3
482,1147.8,7
483,1150.67,1
484,1152.91,29
485,1157.26,109
486,1159.35,25
487,1160.13,8
488,1162.82,59
489,1167.57,10
490,1172.11,75
491,1175.1,16
492,1178.59,25
493,1179.02,5
494,1182.42,3
495,1182.86,10
496,1184.63,62
497,1184.65,14
498,1194.58,2
499,1197.08,13
500,1199.02,2
501,1202.8,57
502,1204.75,5
503,1212.99,19
504,1219.71,2
505,1219.98,8
506,1220.16,63
507,1221.06,5
508,1223.24,8
509,1224.3,5
510,1229.43,8
511,1238.51,9
512,1238.57,4
513,1238.63,45
514,1242.31,1
515,1245.18,17
516,1259.81,38
517,1261.2,2
518,1265.16,6
519,1268.12,18
520,1268.92,21
521,1276.45,43
522,1283.64,2
523,1285.0,23
524,1285.8,133
525,1296.13,84
526,1296.78,43
527,1297.38,51
528,1298.53,6
529,1303.52,11
530,1304.03,7
531,1309.1,13
532,1313.76,76
533,1317.34,3
534,1317.42,9
535,1323.76,104
536,1325.4,66
537,1325.71,9
538,1327.12,31
539,1327.68,31
540,1329.86,7
541,1330.64,33
542,1332.16,89
543,1332.19,6
544,1333.82,4
545,1336.11,16
546,1341.03,25
547,1344.81,48
548,1345.09,4
549,1345.78,208
550,1348.81,7
551,1350.86,29
552,1351.94,50
553,1352.02,6
554,1352.38,31
555,1354.48,89
556,1355.04,71
557,1355.5,9
558,1358.56,30
559,1358.64,146
560,1363.76,9
561,1366.89,4
562,1371.11,17
563,1371.32,8
564,1375.57,15
565,1377.08,62
566,1380.37,183
567,1380.58,3
568,1384.48,35
569,1387.17,292
570,1390.35,46
571,1391.0,25
572,1393.85,11
573,1394.04,95
574,1397.29,46
575,1400.68,1
576,1401.84,28
577,1412.83,2
578,1416.06,36
579,1417.73,2
580,1419.97,35
581,1426.06,11
582,1428.56,23
583,1431.86,62
584,1437.85,4
585,1438.35,59
586,1440.04,5
587,1440.75,6
588,1442.56,93
589,1443.67,2
590,1444.91,9
591,1453.63,80
592,1454.61,2
593,1458.32,2
594,1458.51,41
595,1458.98,1
596,1463.39,57
597,1464.8,72
598,1467.87,2
599,1468.33,14
600,1469.94,102
601,1474.59,9
602,1479.66,107
603,1480.24,5
604,1480.39,35
605,1482.28,45
606,1489.07,26
607,1490.02,4
608,1490.42,49
609,1501.21,8
610,1506.27,10
611,1507.79,14
612,1510.54,77
613,1510.92,3
614,1513.72,12
615,1522.48,9
616,1523.95,4
617,1529.02,68
618,1533.57,3
619,1540.8,48
620,1543.2,36
621,1548.28,5
622,1554.96,7
623,1557.88,3
624,1560.57,12
625,1561.82,3
626,1564.5,59
627,1583.1,16
628,1586.91,6
629,1589.0,11
630,1590.29,61
631,1591.28,92
632,1594.87,11
633,1598.87,20
634,1599.19,5
635,1601.16,2
636,1604.13,1
637,1605.36,2
638,1606.53,5
639,1607.17,8
640,1609.93,4
641,1612.35,12
642,1617.33,4
643,1619.16,37
644,1620.2,7
645,1621.4,117
646,1623.31,1
647,1625.65,74
648,1628.82,11
649,1636.6,6
650,1643.14,10
651,1643.3,6
652,1643.57,11
653,1645.23,29
654,1646.15,3
655,1650.21,15
656,1652.57,10
657,1655.72,4
658,1656.04,19
659,1656.54,3
660,1658.4,11
661,1661.49,8
662,1662.23,3
663,1670.47,114
664,1672.47,6
665,1672.58,65
666,1674.88,53
667,1679.16,41
668,1679.76,10
669,1682.12,18
670,1687.88,5
671,1688.97,13
672,1689.77,32
673,1694.09,147
674,1694.34,3
675,1696.78,187
676,1697.24,23
677,1700.58,39
678,1700.83,64
679,1700.89,19
680,1702.87,27
681,1703.53,118
682,1705.25,1
683,1716.26,10
684,1717.56,3
685,1718.96,16
686,1730.81,17
687,1731.15,9
688,1733.31,4
689,1734.11,3
690,1735.21,32
691,1735.39,31
692,1739.42,7
693,1740.09,91
694,1742.72,52
695,1744.62,24
696,1747.39,23
697,1760.24,74
698,1763.52,158
699,1765.08,7
700,1772.98,4
701,1773.46,27
702,1775.38,72
703,1775.63,127
704,1776.7,5
705,1779.43,4
706,1779.84,2
707,1792.07,51
708,1796.68,13
709,1798.52,4
710,1802.04,8
711,1802.38,66
712,1805.46,70
713,1805.55,25
714,1806.67,3
715,1806.9,7
716,1807.81,13
717,1809.07,41
718,1810.88,2
719,1817.18,9
720,1821.95,7
721,1822.53,5
722,1827.79,99
723,1832.85,69
724,1833.76,11
725,1833.97,24
726,1836.94,39
727,1838.0,50
728,1842.32,8
729,1842.68,53
730,1846.3,41
731,1846.78,1
732,1847.18,51
733,1848.33,66
734,1849.75,7
735,1850.68,1
736,1850.96,58
737,1853.52,11
738,1856.15,2
739,1856.56,4
740,1869.74,7
741,1869.89,35
742,1870.21,38
743,1871.11,9
744,1871.27,33
745,1873.05,2
746,1875.49,85
747,1877.36,26
748,1882.8,6
749,1884.29,4
750,1885.63,2
751,1890.02,14
752,1890.05,78
753,1891.4,5
754,1892.15,7
755,1895.72,52
756,1896.33,25
757,1896.36,3
758,1898.34,7
759,1899.85,2
760,1900.83,7
761,1904.17,12
762,1905.42,37
763,1906.96,58
764,1914.73,8
765,1918.6,18
766,1920.04,25
767,1920.77,6
768,1923.3,85
769,1925.99,9
770,1928.37,79
771,1928.54,24
772,1931.88,7
773,1933.67,6
774,1933.89,7
775,1937.04,3
776,1937.92,20
777,1939.0,74
778,1939.51,98
779,1939.99,9
780,1943.6,4
781,1944.37,71
782,1945.57,21
783,1946.15,58
784,1949.88,3
785,1952.46,4
786,1961.1,50
787,1965.11,118
788,1968.56,31
789,1972.74,3
790,1973.77,9
791,1980.35,34
792,1981.76,2
793,1983.21,69
794,1983.9,53
795,1984.22,8
796,1986.81,44
797,1987.65,9
798,1992.34,57
799,1998.62,14
800,2000.16,30
801,2004.77,15
802,2007.44,13
803,2007.93,9
804,2014.86,50
805,2014.97,6
806,2018.21,6
807,2022.47,7
808,2027.06,2
809,2030.36,46
810,2032.14,17
811,2033.02,31
812,2038.19,12
813,2040.72,4
814,2042.27,65
815,2042.29,14
816,2054.3,3
817,2054.56,106
818,2055.13,5
819,2057.15,76
820,2057.67,117
821,2058.77,58
822,2058.78,23
823,2062.36,20
824,2062.76,25
825,2063.67,30
826,2066.87,1
827,2072.3,1
828,2073.63,23
829,2076.6,18
830,2076.84,35
831,2079.06,186
832,2079.23,5
833,2081.4,32
834,2083.71,33
835,2086.53,33
836,2090.89,14
837,2092.61,96
838,2095.68,4
839,2099.57,1
840,2099.97,79
841,2100.96,3
842,2101.58,45
843,2103.86,55
844,2105.23,69
845,2107.76,40
846,2109.08,57
847,2113.66,19
848,2115.88,1
849,2116.39,21
850,2116.46,24
851,2116.52,35
852,2118.34,13
853,2119.23,16
854,2123.84,43
855,2124.35,44
856,2126.0,113
857,2126.36,55
858,2128.08,5
859,2129.52,15
860,2129.95,78
861,2132.31,62
862,2134.98,4
863,2142.82,27
864,2143.53,28
865,2149.45,3
866,2153.01,28
867,2154.5,4
868,2154.66,7
869,2160.58,8
870,2161.9,2
871,2162.97,9
872,2165.02,52
873,2171.92,6
874,2172.67,4
875,2175.95,25
876,2178.03,69
877,2179.59,7
878,2180.67,60
879,2180.97,5
880,2181.69,4
881,2186.44,16
882,2186.74,62
883,2191.66,5
884,2194.74,54
885,2196.7,47
886,2198.36,30
887,2198.81,5
888,2200.14,36
889,2202.77,4
890,2204.57,7
891,2208.67,33
892,2212.53,7
893,2213.09,4
894,2214.09,36
895,2217.62,2
896,2222.88,7
897,2228.17,5
898,2229.67,11
899,2240.17,7
900,2246.17,4
901,2248.1,27
902,2250.77,7
903,2255.09,108
904,2263.43,35
905,2264.0,1
906,2267.94,8
907,2270.09,100
908,2271.35,68
909,2277.52,2
910,2280.5,53
911,2284.44,14
912,2290.35,38
913,2291.16,4
914,2296.77,36
915,2299.43,43
916,2301.82,2
917,2302.04,55
918,2303.8,57
919,2312.34,57
920,2315.1,48
921,2317.62,24
922,2317.65,42
923,2319.7,144
924,2325.22,56
925,2325.43,30
926,2330.31,11
927,2334.58,31
928,2335.52,9
929,2337.11,44
930,2338.22,21
931,2339.92,4
932,2340.4,89
933,2343.51,4
934,2344.58,5
935,2346.08,13
936,2348.51,105
937,2349.6,6
938,2359.27,103
939,2361.78,61
940,2362.76,3
941,2365.66,38
942,2370.2,11
943,2371.02,112
944,2372.82,90
945,2373.73,16
946,2380.69,2
947,2385.81,76
948,2388.54,12
949,2389.29,58
950,2391.34,72
951,2391.63,17
952,2396.63,12
953,2398.61,57
954,2398.9,47
955,2400.27,6
956,2405.16,63
957,2406.02,8
958,2410.11,9
959,2410.16,15
960,2410.99,36
961,2416.14,60
962,2418.09,4
963,2418.34,15
964,2420.62,41
965,2421.5,17
966,2421.62,3
967,2427.45,10
968,2429.7,84
969,2435.27,13
970,2435.36,33
971,2437.55,4
972,2442.0,7
973,2444.28,57
974,2448.7,72
975,2453.98,12
976,2455.39,63
977,2456.34,24
978,2458.64,39
979,2464.22,39
980,2466.71,3
981,2468.95,3
982,2470.75,79
983,2471.03,6
984,2473.67,1
985,2481.19,119
986,2482.95,71
987,2485.46,46
988,2486.58,6
989,2488.18,43
990,2488.73,1
991,2491.09,3
992,2492.91,4
993,2492.92,17
994,2495.04,4
995,2496.84,61
996,2498.1,6
997,2498.33,3
998,2499.39,9
999,2501.16,48
1000,2504.19,94
1001,2516.53,5
1002,2517.78,33
1003,2519.15,14
1004,2522.28,44
1005,2524.62,15
1006,2532.38,4
1007,2536.68,8
1008,2539.58,4
1009,2539.88,29
1010,2541.03,1
1011,2541.35,123
1012,2541.53,36
1013,2541.74,11
1014,2544.5,6
1015,2547.34,100
1016,2547.37,1
1017,2549.9,8
1018,2555.07,13
1019,2558.29,7
1020,2558.67,31
1021,2558.7,1
1022,2560.36,4
1023,2562.51,15
1024,2565.78,13
1025,2568.42,10
1026,2569.82,82
1027,2572.61,3
1028,2576.5,25
1029,2577.98,11
1030,2582.85,10
1031,2589.06,1
1032,2591.24,4
1033,2592.4,127
1034,2595.32,13
1035,2596.49,6
1036,2596.87,23
1037,2602.39,3
1038,2602.45,5
1039,2605.04,2
1040,2605.23,19
1041,2606.55,96
1042,2608.88,2
1043,2610.01,153
1044,2610.39,5
1045,2612.05,49
1046,2620.36,5
1047,2621.57,3
1048,2621.63,5
1049,2625.16,16
1050,2630.92,5
1051,2631.23,46
1052,2636.71,56
1053,2639.02,2
1054,2640.06,2
1055,2642.01,55
1056,2643.96,2
1057,2647.55,6
1058,2648.45,19
1059,2649.2,23
1060,2657.68,3
1061,2659.72,87
1062,2660.09,1
1063,2661.56,6
1064,2662.84,200
1065,2675.57,9
1066,2677.68,15
1067,2680.1,37
1068,2680.2,2
1069,2681.81,2
1070,2690.12,57
1071,2696.12,9
1072,2701.22,30
1073,2701.57,39
1074,2705.52,9
1075,2706.33,45
1076,2716.24,24
1077,2717.89,57
1078,2719.07,92
1079,2719.91,72
1080,2721.13,4
1081,2722.92,64
1082,2727.94,5
1083,2737.81,19
1084,2741.43,5
1085,2743.56,18
1086,2749.15,6
1087,2749.31,6
1088,2751.1,90
1089,2753.56,35
1090,2756.77,6
1091,2759.72,38
1092,2760.83,4
1093,2764.91,28
1094,2772.8,4
1095,2772.82,4
1096,2772.86,82
1097,2776.21,67
1098,2776.6,13
1099,2780.1,12
1100,2783.73,19
1101,2788.41,4
1102,2790.08,8
1103,2790.28,1
1104,2790.45,18
1105,2791.52,52
1106,2798.9,45
1107,2799.09,50
1108,2799.98,71
1109,2800.18,118
1110,2803.25,7
1111,2803.38,6
1112,2804.25,4
1113,2804.91,83
1114,2811.53,4
1115,2812.83,5
1116,2814.45,72
1117,2815.09,7
1118,2817.4,50
1119,2818.51,3
1120,2824.0,60
1121,2825.75,183
1122,2828.2,22
1123,2828.39,25
1124,2831.52,78
1125,2835.84,56
1126,2837.68,22
1127,2838.07,31
1128,2839.79,84
1129,2840.63,9
1130,2840.77,3
1131,2844.22,33
1132,2845.03,7
1133,2848.1,3
1134,2848.37,18
1135,2849.49,76
1136,2850.43,5
1137,2854.32,6
1138,2860.34,15
1139,2861.52,47
1140,2862.75,36
1141,2865.25,67
1142,2867.99,3
1143,2876.45,3
1144,2876.73,17
1145,2880.54,5
1146,2881.66,53
1147,2889.51,10
1148,2891.04,7
1149,2891.63,2
1150,2891.76,2
1151,2895.41,19
1152,2900.16,40
1153,2900.76,39
1154,2906.06,39
1155,2906.67,88
1156,2907.54,26
1157,2907.91,20
1158,2908.86,14
1159,2911.45,125
1160,2912.01,4
1161,2917.53,3
1162,2917.68,2
1163,2917.98,17
1164,2922.49,8
1165,2922.53,19
1166,2922.58,2
1167,2922.91,6
1168,2924.21,1
1169,2926.1,6
1170,2927.66,7
1171,2935.94,37
1172,2936.87,8
1173,2940.59,8
1174,2949.92,25
1175,2950.26,6
1176,2951.03,55
1177,2951.07,16
1178,2952.89,4
1179,2953.96,89
1180,2963.1,2
1181,2967.79,73
1182,2969.32,74
1183,2970.59,5
1184,2971.24,44
1185,2971.95,28
1186,2973.56,6
1187,2973.71,68
1188,2973.91,50
1189,2975.05,4
1190,2975.43,4
1191,2977.86,62
1192,2978.26,22
1193,2982.43,2
1194,2985.23,26
1195,2985.98,12
1196,2986.84,42
1197,2988.43,60
1198,2988.59,71
1199,2988.99,25
1200,2996.91,6
1201,2998.8,49
1202,3001.65,2
1203,3001.85,14
1204,3003.39,4
1205,3005.37,4
1206,3005.82,6
1207,3007.29,10
1208,3007.98,9
1209,3016.07,7
1210,3016.82,9
1211,3018.26,4
1212,3020.69,8
1213,3030.62,68
1214,3036.58,4
1215,3043.77,50
1216,3053.23,69
1217,3056.77,46
1218,3059.94,2
1219,3060.65,22
1220,3061.09,18
1221,3063.17,49
1222,3063.2,126
1223,3063.22,71
1224,3063.87,6
1225,3066.39,32
1226,3071.1,3
1227,3074.36,45
1228,3074.43,29
1229,3076.07,3
1230,3076.92,60
1231,3078.19,2
1232,3081.7,18
1233,3087.97,52
1234,3089.07,70
1235,3092.94,63
1236,3094.05,2
1237,3096.72,4
1238,3102.98,4
1239,3103.25,2
1240,3103.35,7
1241,3103.44,8
1242,3104.27,6
1243,3111.78,2
1244,3113.95,36
1245,3115.77,3
1246,3116.86,87
1247,3122.47,22
1248,3124.09,38
1249,3125.81,63
1250,3126.32,22
1251,3127.33,5
1252,3127.51,10
1253,3127.69,7
1254,3129.01,75
1255,3133.17,37
1256,3136.13,15
1257,3139.82,27
1258,3145.04,63
1259,3146.98,4
1260,3147.08,1
1261,3147.42,12
1262,3147.56,1
1263,3156.6,4
1264,3157.51,26
1265,3158.16,19
1266,3162.88,80
1267,3164.25,3
1268,3167.37,2
1269,3171.61,5
1270,3177.42,2
1271,3181.53,23
1272,3184.23,1
1273,3184.43,31
1274,3184.89,10
1275,3188.68,11
1276,3188.79,8
1277,3189.56,2
1278,3192.69,13
1279,3196.25,50
1280,3198.03,27
1281,3199.18,17
1282,3200.73,16
1283,3207.08,94
1284,3212.03,15
1285,3212.83,35
1286,3213.89,68
1287,3214.91,93
1288,3216.97,86
1289,3224.32,1
1290,3224.76,6
1291,3228.62,4
1292,3228.68,23
1293,3233.25,47
1294,3233.92,64
1295,3236.97,8
1296,3245.5,21
1297,3245.63,147
1298,3250.59,7
1299,3251.08,8
1300,3252.34,113
1301,3252.69,25
1302,3257.82,26
1303,3260.61,33
1304,3263.06,78
1305,3265.18,51
1306,3266.03,4
1307,3266.95,104
1308,3267.97,2
1309,3271.27,4
1310,3275.1,6
1311,3275.94,31
1312,3276.95,4
1313,3277.1,68
1314,3279.67,6
1315,3282.45,2
1316,3283.8,11
1317,3287.28,5
1318,3288.09,35
1319,3289.5,2
1320,3298.32,51
1321,3298.62,122
1322,3301.67,34
1323,3303.04,3
1324,3303.81,1
1325,3304.38,17
1326,3305.23,6
1327,3307.9,7
1328,3308.1,10
1329,3308.3,46
1330,3308.54,55
1331,3310.82,121
1332,3311.6,20
1333,3311.64,19
1334,3313.99,16
1335,3314.93,73
1336,3319.96,2
1337,3327.29,6
1338,3329.5,9
1339,3332.52,29
1340,3332.56,28
1341,3334.75,5
1342,3342.65,2
1343,3343.92,39
1344,3346.71,10
1345,3356.14,29
1346,3359.59,6
1347,3365.74,18
1348,3367.16,37
1349,3370.37,7
1350,3372.75,6
1351,3375.29,14
1352,3375.53,3
1353,3376.09,61
1354,3376.12,69
1355,3376.83,32
1356,3377.54,3
1357,3377.7,28
1358,3380.03,41
1359,3382.82,63
1360,3387.15,10
1361,3393.9,2
1362,3396.3,55
1363,3399.7,54
1364,3399.88,29
1365,3401.04,54
1366,3402.97,13
1367,3403.75,80
1368,3406.5,5
1369,3410.37,40
1370,3411.08,31
1371,3414.14,2
1372,3416.76,1
1373,3423.64,5
1374,3423.7,1
1375,3424.6,4
1376,3426.29,7
1377,3432.84,9
1378,3434.16,39
1379,3436.82,4
1380,3437.26,4
1381,3437.44,68
1382,3442.78,26
1383,3446.99,32
1384,3447.84,60
1385,3448.77,8
1386,3450.69,1
1387,3451.79,92
1388,3455.68,37
1389,3456.6,2
1390,3458.36,21
1391,3465.44,17
1392,3467.19,1
1393,3467.73,10
1394,3472.28,14
1395,3477.17,39
1396,3479.53,26
1397,3479.97,27
1398,3482.93,11
1399,3483.58,8
1400,3484.02,29
1401,3484.24,5
1402,3485.33,10
1403,3485.61,8
1404,3487.95,19
1405,3488.65,6
1406,3489.32,4
1407,3489.94,52
1408,3491.97,10
1409,3493.31,21
1410,3496.29,1
1411,3499.32,7
1412,3500.65,2
1413,3505.76,11
1414,3506.07,187
1415,3508.4,5
1416,3508.79,3
1417,3511.73,37
1418,3517.38,2
1419,3517.95,10
1420,3518.0,9
1421,3521.93,7
1422,3523.99,4
1423,3526.47,25
1424,3526.5,14
1425,3529.71,19
1426,3534.02,8
1427,3538.65,14
1428,3542.57,44
1429,3544.07,9
1430,3549.42,5
1431,3550.99,44
1432,3555.06,4
1433,3560.86,41
1434,3562.81,86
1435,3571.42,55
1436,3571.61,35
1437,3572.79,5
1438,3587.47,21
1439,3589.52,3
1440,3590.6,32
1441,3591.77,6
1442,3593.33,34
1443,3596.54,20
1444,3596.56,88
1445,3597.17,43
1446,3597.18,175
1447,3601.26,9
1448,3601.43,122
1449,3605.07,22
1450,3608.55,10
1451,3612.61,2
1452,3615.39,7
1453,3617.81,4
1454,3618.35,67
1455,3623.88,9
1456,3627.43,56
1457,3629.7,13
1458,3631.86,9
1459,3634.36,46
1460,3637.51,2
1461,3638.3,4
1462,3638.99,26
1463,3639.59,82
1464,3641.36,6
1465,3641.88,8
1466,3643.09,5
1467,3647.4,96
1468,3648.19,70
1469,3651.14,52
1470,3653.67,7
1471,3654.65,30
1472,3657.62,4
1473,3658.24,2
1474,3660.95,71
1475,3665.17,13
1476,3665.69,77
1477,3665.92,27
1478,3667.34,23
1479,3667.42,40
1480,3669.46,66
1481,3669.56,2
1482,3675.26,18
1483,3680.74,12
1484,3694.64,41
1485,3699.0,5
1486,3701.15,72
1487,3701.32,18
1488,3705.43,30
1489,3710.31,6
1490,3710.66,4
1491,3710.72,102
1492,3712.81,4
1493,3713.75,24
1494,3713.79,12
1495,3717.4,110
1496,3717.5,72
1497,3722.04,17
1498,3724.49,166
1499,3729.49,27
1500,3741.18,141
1501,3744.71,142
1502,3745.94,36
1503,3746.59,12
1504,3753.21,54
1505,3754.26,20
1506,3767.84,8
1507,3777.76,18
1508,3780.9,68
1509,3783.15,7
1510,3785.96,4
1511,3788.79,11
1512,3789.25,44
1513,3790.98,96
1514,3793.59,94
1515,3794.39,10
1516,3796.68,26
1517,3797.17,5
1518,3799.92,31
1519,3804.46,11
1520,3807.47,109
1521,3812.02,3
1522,3813.3,85
1523,3813.72,18
1524,3820.08,11
1525,3822.27,1
1526,3822.4,17
1527,3822.48,3
1528,3824.81,6
1529,3830.13,9
1530,3830.72,79
1531,3835.69,6
1532,3839.03,56
1533,3839.87,9
1534,3841.43,7
1535,3846.13,44
1536,3846.3,5
1537,3855.56,60
1538,3862.51,9
1539,3862.73,4
