Process,Burst time,Arrival Time,,Arrival Time(normalized)
P147,269,56,,0.56
P148,174,49,,0.49
P149,200,45.5,,0.455
P150,155,42.25,,0.4225
P151,130,71.25,,0.7125
P152,127,63.25,,0.6325
P153,216,31.25,,0.3125
P154,173,12.5,,0.125
P155,193,54.25,,0.5425
P156,253,48.5,,0.485
P157,162,32.5,,0.325
P158,277,45.75,,0.4575
P159,190,48.75,,0.4875
P160,147,41.5,,0.415
P161,111,56.75,,0.5675
P162,182,54.75,,0.5475
P163,146,56.5,,0.565
P164,152,52.25,,0.5225
P165,213,23.5,,0.235
P166,305,54.5,,0.545
P167,235,26.75,,0.2675
P168,228,76,,0.76
P169,266,65.5,,0.655
P170,151,39.75,,0.3975
P171,231,41.5,,0.415
P172,244,42.25,,0.4225
P173,168,46.75,,0.4675
P174,204,32.75,,0.3275
P175,185,78.5,,0.785
P176,154,33.75,,0.3375
P177,209,54.75,,0.5475
P178,103,52.25,,0.5225
P179,239,48.75,,0.4875
P180,195,41.25,,0.4125
P181,254,45.25,,0.4525
P182,213,88,,0.88
P183,196,58.5,,0.585
P184,157,66,,0.66
P185,196,65,,0.65
P186,241,67.5,,0.675
P187,116,56.25,,0.5625
P188,212,75.5,,0.755
P189,279,78.75,,0.7875
P190,214,50.5,,0.505
P191,220,54.75,,0.5475
P192,275,48.25,,0.4825
P193,216,21.75,,0.2175
P194,149,24.25,,0.2425
P195,147,77.25,,0.7725
P196,157,34.75,,0.3475
P197,149,59,,0.59
P198,192,61.75,,0.6175
P199,142,67.5,,0.675
P200,268,25.5,,0.255
P201,86,42.5,,0.425
P202,155,85.25,,0.8525
P203,142,17.75,,0.1775
P204,205,65.75,,0.6575
P205,218,62,,0.62
P206,207,60.25,,0.6025
P207,215,66.25,,0.6625
P208,302,26.25,,0.2625
P209,153,71.25,,0.7125
P210,176,33.5,,0.335
P211,137,41.75,,0.4175
P212,91,50.5,,0.505
P213,276,56.5,,0.565
P214,201,43.25,,0.4325
P215,170,28,,0.28
P216,192,53,,0.53
P217,181,45.75,,0.4575
P218,183,77.75,,0.7775
P219,173,57.25,,0.5725
P220,183,50,,0.5
P221,247,47.5,,0.475
P222,281,64,,0.64
P223,163,61.5,,0.615
P224,270,68,,0.68
P225,173,15.5,,0.155
P226,158,53.5,,0.535
P227,192,52,,0.52
P228,189,41.75,,0.4175
P229,246,66.5,,0.665
P230,160,76.5,,0.765
P231,256,32.75,,0.3275
P232,152,56,,0.56
P233,202,6.5,,0.065
P234,227,55,,0.55
P235,245,53.75,,0.5375
P236,177,67.5,,0.675
P237,121,65.75,,0.6575
P238,244,48.5,,0.485
P239,225,52.25,,0.5225
P240,181,41.75,,0.4175
P241,210,41.25,,0.4125
P242,174,45,,0.45
P243,155,93.75,,0.9375
P244,149,32,,0.32
P245,172,55.75,,0.5575
P246,251,46.25,,0.4625
P247,257,49,,0.49
P248,65,51,,0.51
P249,145,69.75,,0.6975
P250,164,56.5,,0.565
P251,292,54.5,,0.545
P252,256,57.5,,0.575
P253,136,54,,0.54
P254,239,38.5,,0.385
P255,205,62.5,,0.625
P256,219,35.75,,0.3575
P257,182,45.5,,0.455
P258,119,48.25,,0.4825
P259,246,40,,0.4
P260,211,75.25,,0.7525
P261,163,31.5,,0.315
P262,288,58,,0.58
P263,245,64.5,,0.645
P264,219,66.5,,0.665
P265,247,47.25,,0.4725
P266,273,61.75,,0.6175
P267,242,45.25,,0.4525
P268,134,53.25,,0.5325
P269,180,47.75,,0.4775
P270,234,55.75,,0.5575
P271,242,41.75,,0.4175
P272,227,70,,0.7
P273,172,76.5,,0.765
P274,160,68.5,,0.685
P275,193,76.5,,0.765
P276,249,61.5,,0.615
P277,204,28.25,,0.2825
P278,184,40.5,,0.405
P279,118,84.75,,0.8475
P280,187,28.25,,0.2825
P281,113,49.75,,0.4975
P282,209,48.5,,0.485
P283,162,38.75,,0.3875
P284,190,53,,0.53
P285,190,44.25,,0.4425
P286,242,39.25,,0.3925
P287,174,81.25,,0.8125
P288,133,65.5,,0.655
P289,300,50.5,,0.505
P290,136,54.5,,0.545
P291,195,77.25,,0.7725
P292,136,47.75,,0.4775
P293,182,33.25,,0.3325
P294,207,66,,0.66
P295,165,66.25,,0.6625
P296,260,30.25,,0.3025
P297,163,64.5,,0.645
P298,180,24.25,,0.2425
P299,270,81,,0.81
P300,228,49.25,,0.4925
P301,189,60.5,,0.605
P302,250,60.25,,0.6025
P303,185,59.75,,0.5975
P304,313,41.75,,0.4175
P305,161,78.5,,0.785
P306,134,50.75,,0.5075
P307,95,77.75,,0.7775
P308,228,69,,0.69
P309,175,69.5,,0.695
P310,137,41.25,,0.4125
P311,247,53,,0.53
P312,152,63,,0.63
P313,216,37.5,,0.375
P314,150,41.5,,0.415
P315,218,56.25,,0.5625
P316,184,85.25,,0.8525
P317,163,66,,0.66
P318,256,53.75,,0.5375
P319,177,54.75,,0.5475
P320,195,70,,0.7
P321,232,92.25,,0.9225
P322,93,70,,0.7
P323,226,67.5,,0.675
P324,238,51.5,,0.515
P325,153,47.75,,0.4775
P326,248,40.75,,0.4075
P327,143,81,,0.81
P328,171,48.5,,0.485
P329,226,78,,0.78
P330,206,23.75,,0.2375
P331,94,39.25,,0.3925
P332,154,67.5,,0.675
P333,198,61.5,,0.615
P334,174,28.5,,0.285
P335,195,30.25,,0.3025
P336,150,44.5,,0.445
P337,225,59.25,,0.5925
P338,176,48,,0.48
P339,203,60,,0.6
P340,214,43.25,,0.4325
P341,165,64.5,,0.645
P342,221,30.25,,0.3025
P343,217,29.5,,0.295
P344,129,79.75,,0.7975
P345,177,44,,0.44
P346,128,54.75,,0.5475
P347,293,46.25,,0.4625
P348,237,67.75,,0.6775
P349,343,40.5,,0.405
P350,155,46.25,,0.4625
P351,132,40.25,,0.4025
P352,82,66.5,,0.665
P353,268,49.75,,0.4975
P354,203,20,,0.2
P355,169,49.5,,0.495
P356,181,26,,0.26
P357,198,68.75,,0.6875
P358,235,65.5,,0.655
P359,178,54.25,,0.5425
P360,89,50.75,,0.5075
P361,185,50.25,,0.5025
P362,184,53.25,,0.5325
P363,182,71.75,,0.7175
P364,203,45.5,,0.455
P365,183,75.25,,0.7525
P366,241,68,,0.68
P367,137,27.25,,0.2725
P368,115,37.5,,0.375
P369,133,43,,0.43
P370,195,51.5,,0.515
P371,263,64,,0.64
P372,217,32.5,,0.325
P373,199,55,,0.55
P374,227,47.5,,0.475
P375,132,50.75,,0.5075
P376,268,36.25,,0.3625
P377,89,52,,0.52
P378,262,59.5,,0.595
P379,196,45.5,,0.455
P380,205,70,,0.7
P381,262,39.25,,0.3925
P382,190,51.25,,0.5125
P383,57,41.5,,0.415
P384,272,55.75,,0.5575
P385,210,58.5,,0.585
P386,174,32,,0.32
P387,163,25,,0.25
P388,169,30.25,,0.3025
P389,204,67.5,,0.675
P390,185,74,,0.74
P391,266,61.5,,0.615
P392,331,23.25,,0.2325
P393,222,54,,0.54
P394,230,64.5,,0.645
P395,224,43.25,,0.4325
P396,181,69.75,,0.6975
P397,165,53.5,,0.535
P398,217,67.5,,0.675
P399,189,30.75,,0.3075
P400,265,53.5,,0.535
P401,108,38,,0.38
P402,239,29.75,,0.2975
P403,197,61,,0.61
P404,204,44,,0.44
P405,169,55.75,,0.5575
P406,194,57.5,,0.575
P407,205,52.25,,0.5225
P408,283,71.75,,0.7175
P409,233,48.25,,0.4825
P410,190,78,,0.78
P411,185,55,,0.55
P412,226,81.75,,0.8175
P413,224,52.25,,0.5225
P414,235,34.5,,0.345
P415,207,97.75,,0.9775
P416,201,43.25,,0.4325
P417,162,67.5,,0.675
P418,344,25.75,,0.2575
P419,162,50.25,,0.5025
P420,190,55.75,,0.5575
P421,204,51,,0.51
P422,147,29.75,,0.2975
P423,191,57.5,,0.575
P424,123,44,,0.44
P425,201,54.5,,0.545
P426,186,17.5,,0.175
P427,125,55.75,,0.5575
P428,206,57.25,,0.5725
P429,277,66.25,,0.6625
P430,211,24.5,,0.245
P431,194,74.25,,0.7425
P432,181,84.75,,0.8475
P433,162,45,,0.45
P434,287,51.5,,0.515
P435,216,38.25,,0.3825
P436,225,39.75,,0.3975
P437,187,52,,0.52
P438,258,56,,0.56
P439,60,50.75,,0.5075
P440,51,53.5,,0.535
P441,161,49,,0.49
P442,94,92.5,,0.925
P443,207,50.5,,0.505
P444,223,47,,0.47
P445,196,46,,0.46
P446,148,68,,0.68
P447,242,29.25,,0.2925
P448,203,49.5,,0.495
P449,153,30.5,,0.305
P450,182,28.75,,0.2875
P451,257,58.5,,0.585
P452,223,50,,0.5
P453,323,25.5,,0.255
P454,198,42.25,,0.4225
P455,136,60.75,,0.6075
P456,77,33.25,,0.3325
P457,221,42.5,,0.425
P458,220,39.25,,0.3925
P459,146,36,,0.36
P460,248,48,,0.48
P461,216,53.5,,0.535
P462,260,68,,0.68
P463,185,46.25,,0.4625
P464,288,69,,0.69
P465,166,48.25,,0.4825
P466,221,66.25,,0.6625
P467,227,57.25,,0.5725
P468,242,32.75,,0.3275
P469,244,36.25,,0.3625
P470,219,32.25,,0.3225
P471,227,55.25,,0.5525
P472,239,67.25,,0.6725
P473,219,75.5,,0.755
P474,204,51.5,,0.515
P475,220,31.75,,0.3175
P476,234,45,,0.45
P477,208,56.25,,0.5625
P478,129,56,,0.56
P479,169,69.5,,0.695
P480,297,66,,0.66
P481,152,41.5,,0.415
P482,169,65.5,,0.655
P483,160,58,,0.58
P484,225,26,,0.26
P485,93,24.75,,0.2475
P486,236,44,,0.44
P487,198,57.25,,0.5725
P488,259,35.25,,0.3525
P489,143,45.75,,0.4575
P490,151,94,,0.94
P491,234,61,,0.61
P492,233,45.25,,0.4525
P493,201,38,,0.38
P494,178,64.25,,0.6425
P495,274,53.75,,0.5375
P496,182,69.75,,0.6975
P497,245,46.75,,0.4675
P498,300,54,,0.54
P499,217,72,,0.72
P500,236,30.75,,0.3075
P501,115,44.25,,0.4425
P502,234,38.75,,0.3875
P503,249,33.25,,0.3325
P504,248,49,,0.49
P505,218,19.5,,0.195
P506,323,52.25,,0.5225
P507,220,70.75,,0.7075
P508,193,58.75,,0.5875
P509,188,57,,0.57
P510,275,40,,0.4
P511,241,55,,0.55
P512,234,55.25,,0.5525
P513,189,73.5,,0.735
P514,343,50.25,,0.5025
P515,297,57.75,,0.5775
P516,256,38.5,,0.385
P517,221,51.75,,0.5175
P518,130,14.75,,0.1475
P519,257,66.75,,0.6675
P520,225,44.5,,0.445
P521,221,18.25,,0.1825
P522,195,38.75,,0.3875
P523,270,42.25,,0.4225
P524,185,40.25,,0.4025
P525,216,53.25,,0.5325
P526,177,48.5,,0.485
P527,228,66.25,,0.6625
P528,170,79.75,,0.7975
P529,277,54.75,,0.5475
P530,217,39.75,,0.3975
P531,139,43.5,,0.435
P532,158,79.5,,0.795
P533,288,59.25,,0.5925
P534,256,49.75,,0.4975
P535,183,43.5,,0.435
P536,225,33.5,,0.335
P537,180,21.25,,0.2125
P538,231,34.5,,0.345
P539,279,64.5,,0.645
P540,243,71.25,,0.7125
P541,303,65.25,,0.6525
P542,234,23,,0.23
P543,250,58.5,,0.585
P544,105,63.5,,0.635
P545,99,43.5,,0.435
P546,190,44.5,,0.445
P547,228,42.5,,0.425
P548,241,36.25,,0.3625
P549,260,45,,0.45
P550,194,67.5,,0.675
P551,266,37.5,,0.375
P552,153,61,,0.61
P553,116,56.5,,0.565
P554,215,63.5,,0.635
P555,254,61,,0.61
P556,165,49.25,,0.4925
P557,257,45.25,,0.4525
P558,289,46.75,,0.4675
P559,187,60.25,,0.6025
P560,255,72.75,,0.7275
P561,114,62.75,,0.6275
P562,203,13,,0.13
P563,198,51.25,,0.5125
P564,199,43.25,,0.4325
P565,196,69.5,,0.695
P566,140,41.75,,0.4175
P567,194,23.5,,0.235
P568,293,54.25,,0.5425
P569,236,64.75,,0.6475
P570,97,71.25,,0.7125
P571,204,45.75,,0.4575
P572,149,55.75,,0.5575
P573,172,39.25,,0.3925
P574,197,64,,0.64
P575,264,28.5,,0.285
P576,240,80,,0.8
P577,274,70.5,,0.705
P578,272,63,,0.63
P579,191,24,,0.24
P580,179,64.75,,0.6475
P581,234,43.75,,0.4375
P582,161,53.5,,0.535
P583,201,53.25,,0.5325
P584,252,65.25,,0.6525
P585,174,65,,0.65
P586,249,51.5,,0.515
P587,146,69.5,,0.695
P588,228,46.25,,0.4625
P589,224,64.25,,0.6425
P590,245,32,,0.32
P591,306,47.25,,0.4725
P592,187,60.25,,0.6025
P593,162,33.75,,0.3375
P594,153,52,,0.52
P595,223,54.75,,0.5475
P596,227,46,,0.46
P597,241,68,,0.68
P598,220,35.25,,0.3525
P599,225,57.25,,0.5725
P600,251,78.75,,0.7875
P601,275,43.25,,0.4325
P602,240,39.5,,0.395
P603,178,46.5,,0.465
P604,313,58.5,,0.585
P605,311,27.25,,0.2725
P606,85,58,,0.58
P607,177,56,,0.56
P608,223,47,,0.47
P609,220,52.25,,0.5225
P610,153,32.75,,0.3275
P611,209,52,,0.52
P612,258,49,,0.49
P613,227,9,,0.09
P614,228,58.25,,0.5825
P615,172,64.5,,0.645
P616,230,40.25,,0.4025
P617,160,59,,0.59
P618,209,78.25,,0.7825
P619,197,81,,0.81
P620,219,24,,0.24
P621,183,64,,0.64
P622,220,31.75,,0.3175
P623,90,49.75,,0.4975
P624,213,29.5,,0.295
P625,170,77,,0.77
P626,217,61.25,,0.6125
P627,279,66.5,,0.665
P628,125,46.75,,0.4675
P629,166,64.25,,0.6425
P630,298,49.25,,0.4925
P631,191,47.75,,0.4775
P632,272,56.5,,0.565
P633,177,63.25,,0.6325
P634,195,49.75,,0.4975
P635,136,52.25,,0.5225
P636,273,69.5,,0.695
P637,199,74.75,,0.7475
P638,206,20.25,,0.2025
P639,213,75.5,,0.755
P640,309,34,,0.34
P641,196,67.5,,0.675
P642,204,66,,0.66
P643,244,55.5,,0.555
P644,170,53.75,,0.5375
P645,149,61,,0.61
P646,162,49.75,,0.4975
P647,315,72.5,,0.725
P648,143,6.5,,0.065
P649,230,65,,0.65
P650,237,47.5,,0.475
P651,233,46.75,,0.4675
P652,268,41.75,,0.4175
P653,175,35,,0.35
P654,174,52.5,,0.525
P655,167,46.25,,0.4625
P656,158,41.75,,0.4175
P657,102,67.5,,0.675
P658,205,42.75,,0.4275
P659,242,47,,0.47
P660,190,31,,0.31
P661,181,57.25,,0.5725
P662,221,49.5,,0.495
P663,169,16.5,,0.165
P664,306,60,,0.6
P665,197,49.25,,0.4925
P666,128,77.25,,0.7725
P667,253,49.75,,0.4975
P668,177,56.5,,0.565
P669,196,67.75,,0.6775
P670,153,19,,0.19
P671,224,62.75,,0.6275
P672,162,40.75,,0.4075
P673,215,68.25,,0.6825
P674,170,35.5,,0.355
P675,188,28.75,,0.2875
P676,188,66.5,,0.665
P677,127,51.75,,0.5175
P678,212,19.25,,0.1925
P679,300,70.25,,0.7025
P680,232,69.75,,0.6975
P681,205,53.25,,0.5325
P682,211,33.5,,0.335
P683,93,54,,0.54
P684,55,15.25,,0.1525
P685,239,31.5,,0.315
P686,157,52.25,,0.5225
P687,238,38,,0.38
P688,103,54.5,,0.545
P689,210,92.25,,0.9225
P690,242,47,,0.47
P691,267,38.5,,0.385
P692,118,70,,0.7
P693,188,43.5,,0.435
P694,184,70.25,,0.7025
P695,108,89.25,,0.8925
P696,179,45.25,,0.4525
P697,246,63,,0.63
P698,278,50.75,,0.5075
P699,149,51.75,,0.5175
P700,293,28,,0.28
P701,313,52.5,,0.525
P702,265,45,,0.45
P703,164,32,,0.32
P704,220,50.75,,0.5075
P705,239,34,,0.34
P706,180,55.5,,0.555
P707,167,64.25,,0.6425
P708,124,37.25,,0.3725
P709,241,9,,0.09
P710,206,50,,0.5
P711,123,74.5,,0.745
P712,180,58.75,,0.5875
P713,130,73.5,,0.735
P714,157,73,,0.73
P715,188,33.75,,0.3375
P716,181,64.75,,0.6475
P717,243,60.75,,0.6075
P718,141,35.5,,0.355
P719,146,73,,0.73
P720,263,25.75,,0.2575
P721,254,48.25,,0.4825
P722,186,44,,0.44
P723,168,33.75,,0.3375
P724,221,39.25,,0.3925
P725,206,44,,0.44
P726,282,48,,0.48
P727,198,74.75,,0.7475
P728,180,43.5,,0.435
P729,272,19.75,,0.1975
P730,158,34.5,,0.345
P731,266,53.25,,0.5325
P732,212,48,,0.48
P733,176,56.75,,0.5675
P734,269,45,,0.45
P735,113,60.25,,0.6025
P736,122,73.75,,0.7375
P737,259,72.75,,0.7275
P738,218,65.5,,0.655
P739,273,52.25,,0.5225
P740,217,80.75,,0.8075
P741,167,60.75,,0.6075
P742,232,13,,0.13
P743,257,62.25,,0.6225
P744,268,67,,0.67
P745,148,30,,0.3
P746,236,52.25,,0.5225
P747,142,53,,0.53
P748,293,43.75,,0.4375
P749,106,15,,0.15
P750,222,62,,0.62
P751,275,46.5,,0.465
P752,152,67,,0.67
P753,208,63.75,,0.6375
P754,181,41,,0.41
P755,231,50.25,,0.5025
P756,233,31.25,,0.3125
P757,178,68.25,,0.6825
P758,310,5.5,,0.055
P759,217,44.25,,0.4425
P760,110,70.25,,0.7025
P761,148,73,,0.73
P762,190,31.5,,0.315
P763,183,55.5,,0.555
P764,219,57,,0.57
P765,103,40.25,,0.4025
P766,208,76.25,,0.7625
P767,272,50.25,,0.5025
P768,214,54.75,,0.5475
P769,291,28.25,,0.2825
P770,218,73.5,,0.735
P771,214,65.5,,0.655
P772,219,50.75,,0.5075
P773,201,43.75,,0.4375
P774,163,43.5,,0.435
P775,178,35.75,,0.3575
P776,253,53.25,,0.5325
P777,176,23,,0.23
P778,196,50,,0.5
P779,80,44.75,,0.4475
P780,311,45,,0.45
P781,223,93.75,,0.9375
P782,192,76,,0.76
P783,121,69.5,,0.695
P784,174,33.75,,0.3375
P785,226,68,,0.68
P786,169,29,,0.29
P787,212,72.25,,0.7225
P788,212,36.25,,0.3625
P789,321,58.5,,0.585
P790,208,56,,0.56
P791,259,53.5,,0.535
P792,172,60,,0.6
P793,247,50.5,,0.505
P794,189,67.5,,0.675
P795,333,58.75,,0.5875
P796,259,70.25,,0.7025
P797,163,44.5,,0.445
P798,153,42,,0.42
P799,243,70.5,,0.705
P800,261,65,,0.65
P801,222,62,,0.62
P802,180,35.75,,0.3575
P803,185,33.25,,0.3325
P804,143,34.75,,0.3475
P805,233,43,,0.43
P806,187,52,,0.52
P807,248,28.75,,0.2875
P808,201,26.25,,0.2625
P809,132,39.75,,0.3975
P810,153,45.75,,0.4575
P811,240,51.5,,0.515
P812,191,67.5,,0.675
P813,122,56,,0.56
P814,275,42,,0.42
P815,234,52.75,,0.5275
P816,187,58,,0.58
P817,206,61,,0.61
P818,339,33.75,,0.3375
P819,191,24.75,,0.2475
P820,222,53.25,,0.5325
P821,198,77.25,,0.7725
P822,225,41.25,,0.4125
P823,313,34.75,,0.3475
P824,233,71,,0.71
P825,185,38.75,,0.3875
P826,212,31.25,,0.3125
P827,173,61.25,,0.6125
P828,218,75.5,,0.755
P829,102,56.75,,0.5675
P830,141,44.75,,0.4475
P831,253,26.75,,0.2675
P832,104,69,,0.69
P833,246,43.25,,0.4325
P834,244,57.75,,0.5775
P835,260,53,,0.53
P836,189,53,,0.53
P837,116,43.25,,0.4325
P838,258,60,,0.6
P839,276,51.5,,0.515
P840,242,61,,0.61
P841,277,14.25,,0.1425
P842,232,80,,0.8
P843,166,35.25,,0.3525
P844,102,25,,0.25
P845,149,46,,0.46
P846,230,58.75,,0.5875
P847,242,64,,0.64
P848,199,51,,0.51
P849,250,56.25,,0.5625
P850,150,57.25,,0.5725
P851,223,54.25,,0.5425
P852,152,53,,0.53
P853,196,32,,0.32
P854,248,39.5,,0.395
P855,326,19.75,,0.1975
P856,194,31.75,,0.3175
P857,270,51.5,,0.515
P858,121,71,,0.71
P859,183,62,,0.62
P860,209,60.75,,0.6075
P861,291,40.5,,0.405
P862,156,32.25,,0.3225
P863,224,32.5,,0.325
P864,146,57.5,,0.575
P865,222,72.5,,0.725
P866,207,57.5,,0.575
P867,196,58.25,,0.5825
P868,215,57.75,,0.5775
P869,316,68.25,,0.6825
P870,208,47.75,,0.4775
P871,290,44.25,,0.4425
P872,116,43,,0.43
P873,221,61.25,,0.6125
P874,214,74.75,,0.7475
P875,246,30.5,,0.305
P876,154,68.75,,0.6875
P877,267,45.25,,0.4525
P878,184,59.75,,0.5975
P879,199,53.5,,0.535
P880,255,38.75,,0.3875
P881,218,44.25,,0.4425
P882,191,49.5,,0.495
P883,167,40.75,,0.4075
P884,202,43,,0.43
P885,138,100,,1
P886,241,62.75,,0.6275
P887,174,59,,0.59
P888,189,54,,0.54
P889,91,24.25,,0.2425
P890,142,54.5,,0.545
P891,206,40.25,,0.4025
P892,166,52.75,,0.5275
P893,239,45,,0.45
P894,241,28.5,,0.285
P895,147,63.5,,0.635
P896,231,50.25,,0.5025
P897,139,32,,0.32
P898,225,47.75,,0.4775
P899,290,65.75,,0.6575
P900,178,51.25,,0.5125
P901,260,62.75,,0.6275
P902,252,55.75,,0.5575
P903,241,42.75,,0.4275
P904,186,51,,0.51
P905,214,42.75,,0.4275
P906,198,64.25,,0.6425
P907,180,41.5,,0.415
P908,128,72.5,,0.725
P909,255,74.25,,0.7425
P910,147,6,,0.06
P911,232,59.75,,0.5975
P912,246,59.5,,0.595
P913,212,54.5,,0.545
P914,193,66.5,,0.665
P915,258,80.75,,0.8075
P916,169,31.75,,0.3175
P917,94,48.75,,0.4875
P918,229,51,,0.51
P919,231,27.75,,0.2775
P920,196,44.25,,0.4425
P921,147,51,,0.51
P922,250,47,,0.47
P923,163,55,,0.55
P924,171,41,,0.41
P925,277,81,,0.81
P926,239,26.25,,0.2625
P927,262,51,,0.51
P928,212,81.5,,0.815
P929,281,47.5,,0.475
P930,249,32.75,,0.3275
P931,267,55.25,,0.5525
P932,283,37.5,,0.375
P933,200,48.5,,0.485
P934,283,52,,0.52
P935,218,48.25,,0.4825
P936,262,26.5,,0.265
P937,187,31.25,,0.3125
P938,166,62.25,,0.6225
P939,218,6,,0.06
P940,291,58.75,,0.5875
P941,178,45.25,,0.4525
P942,270,55,,0.55
P943,296,19.25,,0.1925
P944,166,67.25,,0.6725
P945,166,69.75,,0.6975
P946,307,65,,0.65
P947,180,52,,0.52
P948,241,32.75,,0.3275
P949,182,72.25,,0.7225
P950,244,64.5,,0.645
P951,240,70,,0.7
P952,238,51.25,,0.5125
P953,250,52.75,,0.5275
P954,156,60.5,,0.605
P955,183,55,,0.55
P956,199,71.75,,0.7175
P957,161,68.75,,0.6875
P958,282,46.25,,0.4625
P959,232,40,,0.4
P960,160,66.75,,0.6675
P961,234,60.25,,0.6025
P962,94,55.75,,0.5575
P963,167,55.75,,0.5575
P964,154,56,,0.56
P965,179,61.75,,0.6175
P966,146,59,,0.59
P967,195,35.25,,0.3525
P968,237,53,,0.53
P969,116,43.75,,0.4375
P970,188,60.25,,0.6025
P971,105,30.75,,0.3075
P972,157,79.25,,0.7925
P973,111,64.25,,0.6425
P974,221,73.75,,0.7375
P975,203,55.25,,0.5525
P976,230,29.25,,0.2925
P977,84,37.25,,0.3725
P978,119,62.5,,0.625
P979,254,45.5,,0.455
P980,273,70.5,,0.705
P981,145,43,,0.43
P982,151,22.5,,0.225
P983,240,36,,0.36
P984,173,71.5,,0.715
P985,205,43.25,,0.4325
P986,201,56,,0.56
P987,233,56.75,,0.5675
P988,268,44.75,,0.4475
P989,149,62.25,,0.6225
P990,199,63.75,,0.6375
P991,179,35.75,,0.3575
P992,186,29,,0.29
P993,100,71,,0.71
P994,237,30.25,,0.3025
P995,207,31.75,,0.3175
P996,200,46.25,,0.4625
